index,joint_name,pos_min_rad,pos_max_rad,vel_limit_rad_s,acc_limit_rad_s2,home_rad,driver_num,alg_num
0,Chest_Z_L,-0.9984,0.3438,5.0,100.0,0.0,0,0
1,Shoulder_Y_L,-3.2638,1.1694,5.0,100.0,-0.035,1,1
2,Shoulder_X_L,-0.3526,2.7402,5.0,100.0,0.533,2,2
3,Shoulder_Z_L,-2.8885,2.8885,5.0,100.0,-0.096,3,3
4,Elbow_L,-2.042,0.082,5.0,100.0,-1.348,4,4
5,Wrist_Z_L,-2.9147,2.9147,5.0,100.0,-0.787,5,5
6,Wrist_Y_L,-1.5184,1.2566,5.0,100.0,0.008,6,6
7,Wrist_X_L,-1.5184,1.5184,5.0,100.0,0.2,7,7
8,Chest_Z_R,-0.3438,0.9948,5.0,100.0,0.0,8,8
9,Shoulder_Y_R,-3.2638,1.1694,5.0,100.0,-0.035,9,9
10,Shoulder_X_R,-2.7402,0.3526,5.0,100.0,-0.533,10,10
11,Shoulder_Z_R,-2.8885,2.8885,5.0,100.0,0.096,11,11
12,Elbow_R,-2.042,0.082,5.0,100.0,-1.348,12,12
13,Wrist_Z_R,-2.9147,2.9147,5.0,100.0,0.787,13,13
14,Wrist_Y_R,-1.5184,1.2566,5.0,100.0,0.008,14,14
15,Wrist_X_R,-1.5184,1.5184,5.0,100.0,-0.2,15,15
16,Neck_Z,-0.733,0.733,5.0,100.0,0.0,16,16
17,Neck_Y,-0.1693,0.6065,5.0,100.0,0.0,17,17
18,Pitch_Y_B,-0.9948,0.9948,2.5,30.0,0.0,18,18
19,Pitch_Y_M,-2.3911,2.3911,2.5,30.0,0.0,19,19
20,Waist_Z,-2.042,3.0892,2.5,30.0,0.0,20,20
21,Waist_Y,-0.9076,0.9076,2.5,30.0,0.0,21,21
